video_name,step_id,step_cn,start_sec,end_sec
20260807-154738.mp4,D1,取料,3.000,3.500
20260807-154738.mp4,D1,取料,7.867,8.367
20260807-154738.mp4,D1,取料,12.900,13.333
20260807-154738.mp4,D1,取料,17.967,18.533
20260807-154738.mp4,D1,取料,23.300,23.733
20260807-154738.mp4,D1,取料,28.400,28.867
20260807-154738.mp4,D1,取料,33.400,34.067
20260807-154738.mp4,D1,取料,38.600,39.133
20260807-154738.mp4,D2,撕膜,4.600,5.000
20260807-154738.mp4,D2,撕膜,9.967,10.267
20260807-154738.mp4,D2,撕膜,14.633,14.867
20260807-154738.mp4,D2,撕膜,19.733,20.100
20260807-154738.mp4,D2,撕膜,24.933,25.233
20260807-154738.mp4,D2,撕膜,30.133,30.400
20260807-154738.mp4,D2,撕膜,35.467,35.767
20260807-154738.mp4,D2,撕膜,40.800,41.167
20260807-154738.mp4,D3,检测,0.000,0.800
20260807-154738.mp4,D3,检测,5.367,7.067
20260807-154738.mp4,D3,检测,10.267,11.900
20260807-154738.mp4,D3,检测,15.233,17.167
20260807-154738.mp4,D3,检测,20.667,22.467
20260807-154738.mp4,D3,检测,25.767,27.300
20260807-154738.mp4,D3,检测,30.967,32.400
20260807-154738.mp4,D3,检测,36.500,37.733
20260807-154738.mp4,D3,检测,41.733,43.367
20260807-154738.mp4,D4,放料,0.800,1.667
20260807-154738.mp4,D4,放料,7.067,7.867
20260807-154738.mp4,D4,放料,11.900,12.600
20260807-154738.mp4,D4,放料,17.167,17.967
20260807-154738.mp4,D4,放料,22.633,23.267
20260807-154738.mp4,D4,放料,27.333,27.967
20260807-154738.mp4,D4,放料,32.600,33.100
20260807-154738.mp4,D4,放料,37.967,38.433
