video_name,step_id,step_cn,start_sec,end_sec
20260807-154738.mp4,D3,检测,0.0,0.767
20260807-154738.mp4,D4,放料,0.767,1.667
20260807-154738.mp4,D1,pick_material,1.833,4.467
20260807-154738.mp4,D1,取料,3.0,3.5
20260807-154738.mp4,D2,tear_film,4.5,5.0
20260807-154738.mp4,D2,撕膜,4.6,5.0
20260807-154738.mp4,D3,inspect,5.033,8.333
20260807-154738.mp4,D3,检测,5.367,7.067
20260807-154738.mp4,D4,放料,7.067,7.867
20260807-154738.mp4,D1,取料,7.867,8.367
20260807-154738.mp4,D1,pick_material,8.367,9.467
20260807-154738.mp4,D2,tear_film,9.5,12.567
20260807-154738.mp4,D2,撕膜,9.967,10.267
20260807-154738.mp4,D3,检测,10.267,11.9
20260807-154738.mp4,D4,放料,11.9,12.6
20260807-154738.mp4,D1,pick_material,12.633,14.233
20260807-154738.mp4,D1,取料,12.9,13.333
20260807-154738.mp4,D2,tear_film,14.267,14.967
20260807-154738.mp4,D2,撕膜,14.633,14.867
20260807-154738.mp4,D3,inspect,15.0,17.933
20260807-154738.mp4,D3,检测,15.233,17.167
20260807-154738.mp4,D4,放料,17.167,17.967
20260807-154738.mp4,D1,pick_material,18.1,19.5
20260807-154738.mp4,D2,tear_film,19.533,20.2
20260807-154738.mp4,D3,inspect,20.233,22.5
20260807-154738.mp4,D4,place_material,22.533,23.5
20260807-154738.mp4,D1,pick_material,23.533,25.0
20260807-154738.mp4,D3,inspect,25.233,27.5
20260807-154738.mp4,D4,place_material,27.533,28.1
20260807-154738.mp4,D1,pick_material,28.133,29.8
20260807-154738.mp4,D2,tear_film,29.833,30.4
20260807-154738.mp4,D3,inspect,30.433,32.567
20260807-154738.mp4,D4,place_material,32.6,33.133
20260807-154738.mp4,D1,pick_material,33.167,33.533
20260807-154738.mp4,D4,place_material,33.567,34.033
20260807-154738.mp4,D3,inspect,34.067,34.467
20260807-154738.mp4,D4,place_material,34.5,35.367
20260807-154738.mp4,D2,tear_film,35.4,35.733
20260807-154738.mp4,D3,inspect,35.767,37.967
20260807-154738.mp4,D4,place_material,38.0,38.8
20260807-154738.mp4,D1,pick_material,38.833,40.267
20260807-154738.mp4,D2,tear_film,40.3,41.167
20260807-154738.mp4,D3,inspect,41.2,43.4
